#{"t_start": 1746744840.35109, "env_id": "None"}
r,l,t
30.0,17,2.570997
-375.0,75,2.664997
-365.0,75,2.762995
95.0,2,2.767994
87.0,4,2.868016
91.0,3,2.874015
-375.0,75,3.001016
13.0,20,3.091015
-72.0,37,3.172014
91.0,3,3.178017
95.0,2,3.182015
-375.0,75,3.53806
-88.0,39,3.596057
95.0,2,3.601057
87.0,4,3.607057
-370.0,75,3.761061
70.0,7,3.776059
-360.0,75,3.889058
95.0,2,3.943058
-67.0,35,3.989058
95.0,2,4.003059
83.0,5,4.012061
21.0,18,4.11506
83.0,5,4.123057
8.0,20,4.343057
95.0,2,4.348057
-7.0,25,4.38106
59.0,11,4.396058
-350.0,75,4.512057
-375.0,75,4.669057
71.0,8,4.785057
95.0,2,4.789057
2.0,21,4.833062
72.0,6,4.843058
39.0,13,4.861059
-355.0,75,4.95306
79.0,6,5.079059
95.0,2,5.083059
-257.0,72,5.237059
95.0,2,5.241057
79.0,6,5.266059
-375.0,75,5.37606
71.0,8,5.38906
-123.0,49,5.456062
-370.0,75,5.587057
-177.0,56,5.656058
22.0,16,5.677059
95.0,2,5.681057
-225.0,67,5.912094
-370.0,75,6.013091
66.0,8,6.075093
95.0,2,6.079092
-4.0,23,6.111091
91.0,3,6.132092
91.0,3,6.137092
95.0,2,6.142092
-360.0,75,6.434127
-375.0,75,6.651126
29.0,15,6.752126
79.0,6,6.762128
83.0,5,6.866124
62.0,9,7.004127
51.0,13,7.021127
79.0,6,7.030127
95.0,2,7.046146
62.0,9,7.060127
-201.0,61,7.138127
-370.0,75,7.235127
-350.0,75,7.445147
-360.0,75,7.65517
57.0,9,7.669173
95.0,2,7.674171
-200.0,62,7.789173
5.0,19,7.834171
72.0,6,7.843167
0.0,22,7.874168
-88.0,39,7.934169
-33.0,26,7.968172
91.0,3,7.974172
91.0,3,8.086167
91.0,3,8.112169
17.0,19,8.202171
58.0,10,8.346169
95.0,2,8.350168
-380.0,75,8.447169
57.0,9,8.489169
62.0,9,8.50217
-40.0,29,8.723168
-370.0,75,9.110169
95.0,2,9.131168
91.0,3,9.138169
-355.0,75,9.526179
-355.0,75,9.933179
91.0,3,9.940182
95.0,2,9.945182
-365.0,75,10.15118
35.0,14,10.338178
95.0,2,10.511178
-370.0,75,10.618182
79.0,6,10.628184
-79.0,38,10.738199
-360.0,75,10.832202
12.0,19,10.873201
-75.0,37,10.942199
-360.0,75,11.069202
87.0,4,11.0762
-8.0,24,11.110206
-44.0,33,11.170202
95.0,2,11.194202
91.0,3,11.201203
79.0,6,11.2112
16.0,18,11.238205
83.0,5,11.306201
63.0,9,11.320199
-7.0,22,11.407202
95.0,2,11.428205
95.0,2,11.442204
95.0,2,11.503199
91.0,3,11.510202
-365.0,75,11.819201
-130.0,47,11.948201
-101.0,41,12.001201
-360.0,75,12.117202
87.0,4,12.1792
-390.0,75,12.278201
79.0,6,12.288201
-355.0,75,12.3842
-360.0,75,12.5152
9.0,20,12.616212
95.0,2,12.621213
-370.0,75,12.728213
-214.0,68,12.950243
-365.0,75,13.137883
67.0,9,13.270884
79.0,6,13.280881
-180.0,57,13.401883
-375.0,75,13.615886
-370.0,75,13.782881
79.0,6,13.792884
70.0,7,13.802884
-360.0,75,13.894882
-370.0,75,14.008883
75.0,7,14.020881
95.0,2,14.025884
-360.0,75,14.194883
95.0,2,14.199883
-360.0,75,14.447882
-370.0,75,14.663882
-370.0,75,14.810892
95.0,2,14.81589
95.0,2,14.820891
71.0,8,14.831893
95.0,2,14.864893
95.0,2,14.869891
95.0,2,14.874892
-25.0,26,14.969893
-242.0,70,15.176892
95.0,2,15.181893
-8.0,23,15.210892
95.0,2,15.215891
95.0,2,15.222893
-360.0,75,15.452892
-53.0,31,15.536902
87.0,4,15.593904
95.0,2,15.600905
59.0,11,15.616903
87.0,4,15.685916
-375.0,75,15.777914
-17.0,25,15.815917
24.0,17,15.842919
87.0,4,15.915916
70.0,7,16.031916
20.0,17,16.056914
-370.0,75,16.154915
95.0,2,16.272915
-380.0,75,16.433915
91.0,3,16.524915
72.0,6,16.535915
-375.0,75,17.070925
-370.0,75,17.330937
-355.0,75,17.569964
87.0,4,17.577966
95.0,2,17.582963
95.0,2,17.600962
66.0,8,17.667963
75.0,7,17.693963
-360.0,75,17.867976
95.0,2,17.958973
-88.0,39,18.017973
-375.0,75,18.145973
72.0,6,18.170973
91.0,3,18.207974
-355.0,75,18.358972
95.0,2,18.363973
63.0,9,18.377975
95.0,2,18.381973
-177.0,59,18.548975
95.0,2,18.553973
-380.0,75,18.646973
39.0,13,18.665974
-3.0,24,18.698973
79.0,6,18.707973
95.0,2,18.711973
-23.0,26,18.745975
-375.0,75,18.867973
37.0,14,18.888975
-360.0,75,19.127973
-172.0,55,19.215977
59.0,10,19.232974
95.0,2,19.236973
95.0,2,19.241996
87.0,4,19.248972
-34.0,28,19.333972
87.0,4,19.387973
58.0,10,19.403976
55.0,11,19.420974
-365.0,75,19.946011
-15.0,23,19.977011
75.0,7,19.988012
-365.0,75,20.08201
-55.0,32,20.130013
-235.0,72,20.314014
1.0,20,20.42801
95.0,2,20.432011
83.0,5,20.45501
-365.0,75,20.638012
-375.0,75,20.843019
91.0,3,20.849013
-355.0,75,21.162044
66.0,8,21.226066
13.0,20,21.253067
91.0,3,21.259068
-179.0,59,21.353065
-365.0,75,21.478067
13.0,19,21.613065
95.0,2,21.618065
-375.0,75,21.728063
72.0,6,21.738064
95.0,2,21.777065
95.0,2,21.782065
-2.0,25,21.822069
91.0,3,21.828069
72.0,6,21.852064
-196.0,60,22.157064
72.0,6,22.169063
87.0,4,22.176064
91.0,3,22.240074
-360.0,75,22.336076
33.0,15,22.364074
-119.0,48,22.623074
95.0,2,22.628074
-365.0,75,22.722073
-186.0,58,22.913076
95.0,2,22.917076
21.0,18,22.943075
-370.0,75,23.150077
-20.0,26,23.201075
95.0,2,23.206074
95.0,2,23.210078
76.0,5,23.218074
95.0,2,23.234077
95.0,2,23.238077
-370.0,75,23.345078
95.0,2,23.361076
-360.0,75,23.506077
95.0,2,23.511076
26.0,18,23.625073
58.0,10,23.650074
-350.0,75,23.750074
59.0,10,23.764073
83.0,5,23.772074
-380.0,75,23.964075
95.0,2,23.976074
95.0,2,23.981073
-153.0,53,24.065079
-345.0,75,24.160075
-355.0,75,24.439074
95.0,2,24.564074
-370.0,75,24.655074
71.0,7,24.666078
75.0,7,24.679074
-375.0,75,24.866074
91.0,3,24.872075
-8.0,24,24.907081
83.0,5,24.974075
91.0,3,24.986075
-365.0,75,25.095077
-365.0,75,25.325095
95.0,2,25.363099
-241.0,73,25.471096
91.0,3,25.476094
95.0,2,25.481094
-370.0,75,25.613098
91.0,3,25.620099
95.0,2,25.625097
-30.0,27,25.671096
95.0,2,25.776094
-375.0,75,25.871095
87.0,4,25.879096
