time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/loss,train/learning_rate,train/n_updates,train/std_reward,train/min_reward,eval/mean_reward,train/max_reward,train/mean_reward
883,0,106,26.5,0.9989929999999996,0.021764000000000002,4,,,,,,,,
1177,0,226,28.25,0.9978530000000005,0.019698624999999997,8,,,,,,,,
1270,0,319,26.583333333333332,0.9969695000000004,0.014501,12,,,,,,,,
1203,0,533,33.3125,0.9949365,0.030957625000000003,16,,,,,,,,
998,0,631,31.55,0.9940054999999995,0.038342350000000004,20,,,,,,,,
974,0,715,29.791666666666668,0.9932074999999998,0.043603125,24,,,,,,,,
1010,0,797,28.464285714285715,0.9924284999999996,0.03913282142857143,28,,,,,,,,
1014,0,881,27.53125,0.9916304999999999,0.03360565625,32,,,,,,,,
1017,0,993,27.583333333333332,0.9905664999999998,0.03441925,36,,,,,,,,
1088,1,1129,28.225,0.9892744999999996,0.035059225,40,,,,,,,,
938,1,1229,27.931818181818183,0.9883244999999996,0.03323872727272728,44,,,,,,,,
958,1,1319,27.479166666666668,0.9874695000000004,0.034272000000000004,48,,,,,,,,
986,1,1413,27.173076923076923,0.9865765000000001,0.03310098076923077,52,,,,,,,,
1012,1,1488,26.571428571428573,0.9858639999999996,0.030171357142857142,56,,,,,,,,
1048,1,1678,27.966666666666665,0.9840590000000005,0.030790866666666663,60,,,,,,,,
1055,1,1789,27.953125,0.9830044999999996,0.031571609375000004,64,,,,,,,,
1090,1,1910,28.08823529411765,0.9818550000000004,0.03234438235294118,68,,,,,,,,
1095,1,2028,28.166666666666668,0.9807339999999998,0.03280675,72,,,,,,,,
1086,1,2137,28.11842105263158,0.9796984999999995,0.03322680263157895,76,,,,,,,,
1115,2,2340,29.25,0.9777699999999999,0.039637450000000005,80,,,,,,,,
1076,2,2429,28.916666666666668,0.9769244999999999,0.03727216666666667,84,,,,,,,,
1092,2,2532,28.772727272727273,0.9759460000000002,0.037437920454545456,88,,,,,,,,
1065,2,2604,28.304347826086957,0.9752619999999995,0.03749417391304348,92,,,,,,,,
1074,2,2678,27.895833333333332,0.9745590000000004,0.03819763541666666,96,,,,,,,,
1083,2,2762,27.62,0.9737609999999997,0.037671539999999996,100,,,,,,,,
1092,2,2875,27.69,0.9726875000000004,0.03752045,104,,,,,,,,
1092,2,3001,27.75,0.9714904999999997,0.03733585000000001,108,,,,,,,,
1090,2,3127,28.08,0.9702935000000001,0.04074047,112,,,,,,,,
1091,2,3201,26.68,0.9695904999999999,0.038057919999999995,116,,,,,,,,
1128,3,3454,28.23,0.9671870000000005,0.03877227,120,,,,,,,,
1133,3,3545,28.3,0.9663224999999999,0.035893329999999994,124,,,,,,,,
1137,3,3628,28.31,0.9655340000000003,0.03614143,128,,,,,,,,
1154,3,3744,28.63,0.9644320000000003,0.03753107,132,,,,,,,,
1166,3,3870,28.77,0.9632349999999996,0.036333609999999995,136,,,,,,,,
1158,3,3993,28.64,0.9620664999999997,0.03753093999999999,140,,,,,,,,
1170,3,4093,28.64,0.9611164999999999,0.03846818999999999,144,,,,,,,,
1171,3,4169,28.5,0.9603945000000003,0.037118559999999995,148,,,,,,,,
1172,3,4251,28.38,0.9596155,0.03698351,152,,,,,,,,
1184,3,4348,28.6,0.9586939999999998,0.039231669999999996,156,,,,,,,,
1165,3,4412,27.34,0.9580860000000003,0.03718037999999999,160,,,,,,,,
1139,3,4487,26.98,0.9573734999999999,0.036218379999999994,164,,,,,,,,
1150,3,4578,26.68,0.9565090000000003,0.035103489999999994,168,,,,,,,,
1156,4,4698,26.7,0.9553690000000001,0.034044490000000004,172,,,,,,,,
1184,4,4971,28.34,0.9527755000000006,0.03612548,176,,,,,,,,
1174,4,5068,27.28,0.9518540000000004,0.0292681,180,,,,,,,,
1195,4,5305,28.76,0.9496025,0.03162318,184,,,,,,,,
1208,4,5447,29.15,0.9482535000000002,0.03163915,188,,,,,,,,
1218,4,5600,29.96,0.9467999999999995,0.0314673,192,,,,,,,,
1217,4,5786,31.08,0.9450330000000005,0.03280384,196,,,,,,,,
1230,5,6300,35.38,0.9401500000000003,0.03463662,200,,,,,,,,
1233,5,6417,35.42,0.9390385,0.03571902,204,,,,,,,,
1241,5,6522,35.21,0.9380409999999998,0.03576036999999999,208,,,,,,,,
1257,5,6832,37.05,0.9350960000000005,0.03479679,212,,,,,,,,
1244,5,6917,37.16,0.9342885000000005,0.0359223,216,,,,,,,,
1253,5,7047,35.93,0.9330534999999998,0.03409238,220,,,,,,,,
1229,5,7165,36.2,0.9319325000000003,0.034877530000000004,224,,,,,,,,
1230,5,7239,36.11,0.9312295,0.03385412000000001,228,,,,,,,,
1236,5,7321,35.77,0.9304504999999998,0.033098159999999995,232,,,,,,,,
1239,5,7405,35.35,0.9296525,0.032551390000000006,236,,,,,,,,
1242,6,7547,35.54,0.9283035000000003,0.030976790000000004,240,,,,,,,,
1219,6,7623,35.3,0.9275814999999996,0.029130170000000007,244,,,,,,,,
1231,6,7869,37.0,0.9252444999999998,0.030744100000000003,248,,,,,,,,
1234,6,7945,36.94,0.9245225000000001,0.031220300000000006,252,,,,,,,,
1238,6,8053,37.05,0.9234965000000003,0.029962640000000006,256,,,,,,,,
1237,6,8178,37.66,0.9223089999999998,0.033097459999999995,260,,,,,,,,
1219,6,8275,37.88,0.9213874999999997,0.03414029,264,,,,,,,,
1218,6,8394,38.16,0.9202569999999999,0.03389701,268,,,,,,,,
1225,6,8514,38.16,0.9191169999999997,0.03524612,272,,,,,,,,
1231,7,8626,36.55,0.9180529999999998,0.03432976,276,,,,,,,,
1219,7,8733,36.65,0.9170365000000001,0.03531376,280,,,,,,,,
1220,7,8839,35.34,0.9160294999999996,0.03484041,284,,,,,,,,
1225,7,8930,34.83,0.9151650000000001,0.033908719999999996,288,,,,,,,,
1230,7,9023,34.23,0.9142815,0.0330382,292,,,,,,,,
1232,7,9114,33.28,0.9134170000000005,0.029143090000000003,296,,,,,,,,
1234,7,9205,29.05,0.9125524999999999,0.02791027,300,,,,,,,,
1245,7,9503,30.86,0.9097214999999996,0.028550659999999995,304,,,,,,,,
1244,7,9592,30.7,0.9088759999999996,0.02866005,308,,,,,,,,
1252,7,9735,29.03,0.9075174999999995,0.028649609999999995,312,,,,,,,,
1233,7,9837,29.2,0.9065485000000002,0.028805729999999995,316,,,,,,,,
1238,8,9930,28.83,0.905665,0.02764502,320,,,,,,,,
1205,8,10012,28.47,0.9048859999999999,0.026422829999999998,324,,,,,,,,
1206,8,10101,28.62,0.9040404999999998,0.0285122,328,,,,,,,,
1185,8,10184,28.63,0.9032520000000003,0.027606630000000007,332,,,,,,,,
1170,8,10267,28.62,0.9024634999999998,0.027487710000000005,336,,,,,,,,
1171,8,10376,28.29,0.9014279999999996,0.02658647,340,,,,,,,,
1193,9,10978,33.55,0.8957089999999996,0.029694540000000002,344,,,,,,,,
1200,9,11152,32.83,0.8940559999999995,0.030677789999999996,348,,,,,,,,
1204,9,11231,32.86,0.8933055000000001,0.02943767,352,,,,,,,,
1229,9,11756,37.03,0.8883180000000002,0.03137338,356,,,,,,,,
1230,9,11875,36.97,0.8871875000000004,0.029381160000000003,360,,,,,,,,
1234,9,11957,36.82,0.8864085,0.027104860000000005,364,,,,,,,,
1242,9,12210,38.16,0.8840049999999995,0.028501699999999998,368,,,,,,,,
1243,9,12335,38.21,0.8828175000000001,0.028290209999999993,372,,,,,,,,
1246,9,12463,38.37,0.8816015,0.02700288,376,,,,,,,,
1249,10,12537,38.04,0.8808984999999998,0.027201450000000002,380,,,,,,,,
1259,10,12798,39.59,0.8784190000000003,0.028630229999999996,384,,,,,,,,
1236,10,12882,39.52,0.8776210000000005,0.027664660000000004,388,,,,,,,,
1238,10,12982,39.59,0.8766709999999995,0.02768404,392,,,,,,,,
1241,10,13067,39.53,0.8758634999999996,0.028506950000000003,396,,,,,,,,
1245,10,13200,39.95,0.8746000000000002,0.027253919999999997,400,,,,,,,,
1240,10,13330,38.27,0.8733650000000005,0.026340429999999998,404,,,,,,,,
1243,10,13441,38.49,0.8723104999999997,0.028634780000000002,408,,,,,,,,
1248,10,13586,38.51,0.8709330000000002,0.02758426,412,,,,,,,,
1242,11,13677,38.4,0.8700684999999996,0.02639046,416,,,,,,,,
1220,11,13937,40.07,0.8675985000000002,0.027507400000000005,420,,,,,,,,
1217,11,14085,40.73,0.8661924999999999,0.030651780000000003,424,,,,,,,,
1221,11,14197,40.96,0.8651284999999999,0.03163842,428,,,,,,,,
1224,11,14454,42.7,0.8626870000000003,0.03418267,432,,,,,,,,
1225,11,14510,42.43,0.8621549999999998,0.03526127,436,,,,,,,,
1229,11,14644,42.68,0.8608820000000001,0.03569971,440,,,,,,,,
1232,11,14727,37.49,0.8600934999999996,0.03274598000000001,444,,,,,,,,
1230,12,14855,37.03,0.8588775000000005,0.03039682,448,,,,,,,,
1230,12,14921,36.9,0.8582505000000004,0.03213588,452,,,,,,,,
1226,12,15004,32.48,0.8574619999999998,0.030218659999999998,456,,,,,,,,
1222,12,15104,32.29,0.8565119999999999,0.029230850000000003,460,,,,,,,,
1223,12,15224,32.67,0.8553719999999999,0.03214699,464,,,,,,,,
1247,12,15849,36.39,0.8494345,0.033992480000000005,468,,,,,,,,
1249,12,15938,36.03,0.8485889999999999,0.03367486,472,,,,,,,,
1252,12,16030,35.67,0.8477150000000001,0.031905430000000005,476,,,,,,,,
1244,12,16149,36.12,0.8465845000000003,0.032875720000000004,480,,,,,,,,
1242,13,16266,34.68,0.845473,0.03255247,484,,,,,,,,
1245,13,16363,34.81,0.8445514999999999,0.033411710000000004,488,,,,,,,,
1247,13,16464,34.82,0.8435919999999997,0.0334177,492,,,,,,,,
1246,13,16562,34.95,0.8426610000000003,0.03458524999999999,496,,,,,,,,
1250,13,16693,34.93,0.8414165000000005,0.035917439999999995,500,,,,,,,,
1251,13,16886,35.56,0.8395830000000004,0.037496169999999995,504,,,,,,,,
1249,13,16969,35.28,0.8387944999999999,0.03617111,508,,,,,,,,
1251,13,17061,34.75,0.8379205000000001,0.0341239,512,,,,,,,,
1254,13,17155,34.78,0.8370274999999997,0.035097960000000004,516,,,,,,,,
1241,13,17235,32.98,0.8362675,0.03535861,520,,,,,,,,
1243,13,17325,32.4,0.8354124999999997,0.03454772,524,,,,,,,,
1242,14,17432,32.35,0.8343959999999999,0.03254938999999999,528,,,,,,,,
1249,14,17682,32.28,0.8320210000000002,0.03319958,532,,,,,,,,
1250,14,17809,32.99,0.8308145000000003,0.0346174,536,,,,,,,,
1254,14,17928,32.84,0.8296840000000005,0.03648365,540,,,,,,,,
1258,14,18245,35.18,0.8266725000000005,0.03977293,544,,,,,,,,
1260,14,18321,34.66,0.8259504999999997,0.03881611,548,,,,,,,,
1263,14,18420,34.99,0.8250100000000001,0.036868929999999994,552,,,,,,,,
1264,14,18528,35.24,0.8239840000000002,0.03671587,556,,,,,,,,
1266,14,18619,35.15,0.8231194999999996,0.03890289,560,,,,,,,,
1258,14,18738,35.14,0.8219889999999996,0.038855039999999993,564,,,,,,,,
1252,15,18828,29.79,0.8211340000000005,0.03578099,568,,,,,,,,
1251,15,19119,31.81,0.8183695000000001,0.03832968999999999,572,,,,,,,,
1245,15,19210,31.8,0.8175050000000005,0.03827695,576,,,,,,,,
1242,15,19338,31.89,0.8162890000000004,0.03698056,580,,,,,,,,
1242,15,19420,31.54,0.8155100000000001,0.03510012,584,,,,,,,,
1243,15,19488,31.25,0.8148640000000005,0.03406986,588,,,,,,,,
1245,15,19571,31.07,0.8140755,0.034038700000000005,592,,,,,,,,
1247,15,19661,30.99,0.8132204999999997,0.033066130000000006,596,,,,,,,,
1247,15,19735,30.42,0.8125175000000006,0.03122247,600,,,,,,,,
1248,15,19847,29.61,0.8114535000000005,0.030693189999999995,604,,,,,,,,
1252,15,20025,30.56,0.8097625000000004,0.03151948,608,,,,,,,,
1239,16,20142,30.81,0.8086510000000001,0.03268286000000001,612,,,,,,,,
1230,16,20291,31.36,0.8072355000000005,0.033610829999999994,616,,,,,,,,
1229,16,20403,31.68,0.8061715000000005,0.03257128,620,,,,,,,,
1231,16,20479,31.54,0.8054494999999998,0.03034386,624,,,,,,,,
1230,16,20604,31.72,0.8042620000000005,0.03032459,628,,,,,,,,
1227,16,20676,29.94,0.8035779999999997,0.0282969,632,,,,,,,,
1228,17,20984,31.75,0.8006519999999999,0.030440339999999996,636,,,,,,,,
1217,17,21174,32.46,0.7988469999999998,0.02931641,640,,,,,,,,
1220,17,21439,31.94,0.7963295000000001,0.029646809999999996,644,,,,,,,,
1208,17,21559,32.38,0.7951895000000001,0.030560619999999993,648,,,,,,,,
1210,17,21642,32.22,0.7944009999999995,0.03079564,652,,,,,,,,
1212,17,21735,32.07,0.7935175000000005,0.030953679999999997,656,,,,,,,,
1215,17,21863,32.44,0.7923015000000003,0.03003316999999999,660,,,,,,,,
1218,18,21979,32.41,0.7911995000000003,0.02798926,664,,,,,,,,
1216,18,22071,32.43,0.7903255000000005,0.026787039999999998,668,,,,,,,,
1218,18,22165,30.46,0.7894325000000001,0.02338219,672,,,,,,,,
1216,18,22265,30.55,0.7884825000000002,0.024379950000000004,676,,,,,,,,
1213,18,22377,30.39,0.7874185000000002,0.025667440000000003,680,,,,,,,,
1212,18,22461,30.41,0.7866205000000004,0.024953329999999996,684,,,,,,,,
1213,18,22571,30.83,0.7855755,0.025795030000000004,688,,,,,,,,
1211,18,22654,30.83,0.7847870000000005,0.026089280000000003,692,,,,,,,,
1211,18,22763,31.02,0.7837515000000003,0.025890350000000003,696,,,,,,,,
1213,18,22855,31.2,0.7828775000000003,0.026636029999999998,700,,,,,,,,
1214,18,22946,30.99,0.7820129999999998,0.025803779999999995,704,,,,,,,,
1215,19,23095,30.7,0.7805975000000003,0.02402879,708,,,,,,,,
1215,19,23180,30.38,0.7797900000000002,0.022909600000000002,712,,,,,,,,
1216,19,23247,29.56,0.7791534999999998,0.019884890000000002,716,,,,,,,,
1218,19,23346,29.43,0.7782130000000003,0.01951357,720,,,,,,,,
1219,19,23430,29.51,0.7774150000000005,0.02144421,724,,,,,,,,
1217,19,23501,28.97,0.7767405000000001,0.021223100000000005,728,,,,,,,,
1218,19,23577,29.01,0.7760185000000004,0.02027699,732,,,,,,,,
1220,19,23662,26.78,0.7752110000000004,0.015550119999999999,736,,,,,,,,
1220,19,23798,26.24,0.7739190000000001,0.014553799999999997,740,,,,,,,,
1217,19,23917,24.78,0.7727885000000003,0.01278155,744,,,,,,,,
1219,19,24000,24.41,0.7719999999999998,0.013663310000000001,748,,,,,,,,
1218,19,24140,24.98,0.7706699999999995,0.014512550000000003,752,,,,,,,,
1218,19,24257,25.22,0.7695585000000003,0.017328359999999998,756,,,,,,,,
1221,20,24479,26.16,0.7674494999999997,0.01907477,760,,,,,,,,
1222,20,24562,25.83,0.7666610000000003,0.01849638,764,,,,,,,,
1224,20,24977,29.06,0.7627184999999997,0.021070569999999997,768,,,,,,,,
1226,20,25076,29.11,0.7617780000000001,0.02101635,772,,,,,,,,
1227,20,25160,28.95,0.7609800000000004,0.01988906,776,,,,,,,,
1227,20,25243,28.66,0.7601914999999999,0.01893104,780,,,,,,,,
1220,20,25348,28.87,0.7591939999999997,0.01844188,784,,,,,,,,
1221,20,25431,28.6,0.7584055000000002,0.01871669,788,,,,,,,,
1223,20,25544,28.9,0.7573319999999999,0.020179870000000003,792,,,,,,,,
1224,20,25664,29.01,0.7561919999999999,0.020104229999999997,796,,,,,,,,
1225,21,25752,28.97,0.755356,0.021212790000000002,800,,,,,,,,
1227,21,26046,31.0,0.7525629999999999,0.02349305,804,,,,,,,,
1217,21,26135,30.4,0.7517174999999998,0.02261599000000001,808,,,,,,,,
1214,21,26227,30.47,0.7508435,0.023007770000000004,812,,,,,,,,
1215,21,26300,30.53,0.7501500000000001,0.02423291,816,,,,,,,,
1216,21,26374,30.28,0.749447,0.024314860000000004,820,,,,,,,,
1210,21,26455,30.25,0.7486774999999999,0.022346910000000008,824,,,,,,,,
1212,21,26587,30.86,0.7474234999999998,0.024447330000000003,828,,,,,,,,
1214,22,26716,31.39,0.7461980000000004,0.026534839999999994,832,,,,,,,,
1212,22,26882,32.2,0.7446210000000004,0.0303075,836,,,,,,,,
1213,22,26955,31.57,0.7439275000000005,0.02956607,840,,,,,,,,
1214,22,27135,32.18,0.7422174999999999,0.02848339,844,,,,,,,,
1215,22,27264,32.64,0.7409920000000004,0.029796689999999994,848,,,,,,,,
1214,22,27339,31.99,0.7402795,0.02888453,852,,,,,,,,
1215,22,27407,31.5,0.7396335000000005,0.025916019999999998,856,,,,,,,,
1210,22,27546,30.67,0.7383130000000004,0.024806529999999993,860,,,,,,,,
1212,22,27642,30.8,0.7374010000000005,0.025679180000000003,864,,,,,,,,
1217,22,27960,29.83,0.7343800000000001,0.027339250000000002,868,,,,,,,,
1213,23,28034,29.58,0.733677,0.02664399999999999,872,,,,,,,,
1214,23,28133,29.73,0.7327365000000003,0.0286293,876,,,,,,,,
1211,23,28217,29.74,0.7319384999999996,0.028812020000000004,880,,,,,,,,
1206,23,28292,29.44,0.7312260000000002,0.03008851,884,,,,,,,,
1205,23,28409,29.78,0.7301144999999999,0.03206744,888,,,,,,,,
1206,23,28493,29.49,0.7293165000000001,0.029657519999999996,892,,,,,,,,
1205,23,28611,29.47,0.7281954999999996,0.0296591,896,,,,,,,,
1207,23,28887,31.35,0.7255735000000001,0.029400550000000004,900,,,,,,,,
1210,24,29062,30.16,0.7239109999999997,0.02774677,904,,,,,,,,
1216,24,29468,33.33,0.7200539999999995,0.032016869999999996,908,,,,,,,,
1214,24,29578,33.51,0.7190090000000001,0.03489421000000001,912,,,,,,,,
1213,24,29699,33.99,0.7178594999999997,0.03683262,916,,,,,,,,
1211,24,29816,34.42,0.7167480000000005,0.04006439999999999,920,,,,,,,,
1211,24,29904,34.49,0.7159119999999997,0.041054589999999995,924,,,,,,,,
1206,24,29995,34.08,0.7150475000000001,0.038037970000000004,928,,,,,,,,
1205,24,30069,33.53,0.7143444999999999,0.035927940000000005,932,,,,,,,,
1206,25,30199,33.17,0.7131095000000003,0.03411782,936,,,,,,,,
1207,25,30485,35.3,0.7103925000000002,0.03575188,940,,,,,,,,
1206,25,30589,34.54,0.7094045000000002,0.03605186,944,,,,,,,,
1208,25,30678,34.14,0.7085590000000002,0.03486986,948,,,,,,,,
1210,25,30871,35.32,0.7067255000000002,0.0377053,952,,,,,,,,
1208,25,30975,35.68,0.7057375000000004,0.039791669999999994,956,,,,,,,,
1209,25,31098,35.52,0.7045690000000004,0.039466049999999996,960,,,,,,,,
1208,25,31250,36.08,0.703125,0.041187690000000006,964,,,,,,,,
1209,25,31337,33.77,0.7022985000000005,0.03814135,968,,,,,,,,
1211,25,31421,33.87,0.7015004999999997,0.04000711,972,,,,,,,,
1212,25,31505,33.72,0.7007025,0.03909164,976,,,,,,,,
1213,26,31593,33.76,0.6998665000000002,0.03974995,980,,,,,,,,
1214,26,31669,33.77,0.6991445000000005,0.03969455999999999,984,,,,,,,,
1213,26,31757,33.48,0.6983084999999997,0.03862362,988,,,,,,,,
1214,26,31853,33.6,0.6973964999999998,0.03944741000000001,992,,,,,,,,
1214,26,32069,34.58,0.6953444999999999,0.04233884000000001,996,,,,,,,,
1215,26,32142,32.55,0.6946509999999999,0.04077543,1000,,,,,,,,
1216,26,32233,31.71,0.6937865000000005,0.03831719,1004,,,,,,,,
1218,26,32366,28.98,0.692523,0.03498581,1008,,,,,,,,
1219,26,32462,28.84,0.6916110000000002,0.03128575000000001,1012,,,,,,,,
1217,26,32572,28.73,0.6905659999999996,0.030343810000000002,1016,,,,,,,,
1218,26,32661,28.45,0.6897204999999995,0.02717745,1020,,,,,,,,
1218,26,32744,28.4,0.6889320000000001,0.02631931,1024,,,,,,,,
1220,27,33036,30.41,0.6861580000000005,0.029629300000000004,1028,,,,,,,,
1218,27,33132,30.63,0.6852459999999996,0.03026319,1032,,,,,,,,
1222,27,33397,31.98,0.6827284999999998,0.03135718999999999,1036,,,,,,,,
1223,27,33499,30.14,0.6817595000000005,0.03151592999999999,1040,,,,,,,,
1223,27,33574,29.85,0.6810470000000001,0.030403929999999996,1044,,,,,,,,
1222,27,33666,29.88,0.6801730000000002,0.02930002,1048,,,,,,,,
1221,27,33746,28.75,0.6794129999999995,0.026989709999999997,1052,,,,,,,,
1219,27,33865,28.9,0.6782824999999997,0.02596975,1056,,,,,,,,
1218,27,34117,30.19,0.6758885000000006,0.02791656,1060,,,,,,,,
1216,28,34201,29.51,0.6750904999999997,0.026277759999999997,1064,,,,,,,,
1215,28,34323,29.86,0.6739315000000001,0.027376269999999998,1068,,,,,,,,
1216,28,34787,33.66,0.6695234999999999,0.029059800000000004,1072,,,,,,,,
1217,28,34859,33.54,0.6688395000000003,0.028087139999999997,1076,,,,,,,,
1217,28,35031,34.38,0.6672054999999997,0.02990685,1080,,,,,,,,
