rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/loss,train/min_reward,train/max_reward,train/mean_reward,eval/mean_reward,train/std_reward
0.02821015625,31.671875,52,1,38,2048,,,,,,,,,,,,,,,
0.03066982,31.32,106,2,38,4096,-0.012005461676744744,0.0001,0.008112206,10,0.060888671875,0.2,-1.9395183328539134,0.004904030213219812,-1.582594394683838,-0.040145277976989746,,,,,
0.038539109999999994,31.06,161,3,38,6144,-0.03465697059291415,0.0001,0.014169879,20,0.126611328125,0.2,-1.9261653415858746,0.0026819514161616096,-0.9792884588241577,-0.0871024876832962,,,,,
0.05201515,33.18,216,4,37,8192,-0.04968595291720703,0.0001,0.017488267,30,0.174169921875,0.2,-1.9089007828384639,0.0022375410013410145,-1.0035717487335205,-0.08439327776432037,,,,,
0.06320875,36.1,272,5,37,10240,-0.06255812238669023,0.0001,0.021297712,40,0.215966796875,0.2,-1.9021792434155942,0.001752086527812935,-1.0130443572998047,-0.09540367126464844,,,,,
0.07559521,36.88,326,6,37,12288,-0.06714892685122323,0.0001,0.02306274,50,0.266796875,0.2,-1.873967819660902,0.0017320208024102612,-0.9426852464675903,-0.10781753808259964,,,,,
0.07624544,39.99,380,7,37,14336,-0.07556408581440337,0.0001,0.028830428,60,0.308154296875,0.2,-1.8587164558470248,0.0015484890465813806,-0.5943176746368408,-0.11995261907577515,,,,,
0.07853496,45.46,433,8,37,16384,-0.07956335087947082,0.0001,0.029446738,70,0.324267578125,0.2,-1.8433954130858183,0.0037770593355162417,-0.9367002248764038,-0.13853196799755096,,,,,
0.07670724,44.9,488,9,37,18432,-0.08348351586610078,0.0001,0.03363602,80,0.358935546875,0.2,-1.8339156553149223,0.00136436210705142,-0.5760970115661621,-0.13457220792770386,,,,,
0.07803966,51.0,544,10,37,20480,-0.08356053084717133,0.0001,0.037064604,90,0.370263671875,0.2,-1.807257542014122,0.0014921932643119362,-0.5065517425537109,-0.1350070983171463,,,,,
0.08711767000000002,52.94,597,11,37,22528,-0.09064476010971703,0.0001,0.041549537,100,0.390771484375,0.2,-1.8150318298488854,0.0013423851945844945,-0.6006083488464355,-0.1479671746492386,,,,,
0.09755668,62.5,652,12,37,24576,-0.08928531963028945,0.0001,0.048560455,110,0.4189453125,0.2,-1.8040399216115475,0.0013799946724248001,-0.27657175064086914,-0.10887526720762253,,,,,
0.11045815000000003,71.84,704,13,37,26624,-0.09501669156888966,0.0001,0.049412254,120,0.430517578125,0.2,-1.8165466610342265,0.001174213846661587,-0.7024731636047363,-0.13310901820659637,,,,,
0.11259877000000001,78.93,755,14,37,28672,-0.09399761710083113,0.0001,0.051470973,130,0.4421875,0.2,-1.7597530078142882,0.0013704667020647322,-0.8592464923858643,-0.14620080590248108,,,,,
0.11915056,93.76,807,15,38,30720,-0.09256436660070903,0.0001,0.054274205,140,0.432470703125,0.2,-1.7586780857294797,0.00202610481519514,-0.8215630054473877,-0.14371484518051147,,,,,
0.12260298000000003,103.96,860,16,38,32768,-0.09171564327261876,0.0001,0.061445586,150,0.459228515625,0.2,-1.7449180051684379,0.0015508335254708072,-1.269855260848999,-0.13087314367294312,,,,,
0.13049488,112.77,916,17,38,34816,-0.08744819136336446,0.0001,0.057673678,160,0.453076171875,0.2,-1.7233433600515127,0.0013329335836715472,-0.7241872549057007,-0.12731611728668213,,,,,
